2025-06-01 22:51:00,484 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=90
2025-06-01 22:59:41,136 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-01 23:36:41,544 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-01 23:43:51,254 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 00:17:46,223 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 00:28:42,991 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 00:34:40,873 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=90
2025-06-02 00:48:30,255 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 00:49:43,666 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 01:17:32,330 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 01:18:03,884 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 01:25:46,081 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 01:25:51,572 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 01:26:08,094 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 02:00:34,119 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 02:14:20,964 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 02:21:53,723 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 02:23:30,881 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-90
2025-06-02 02:23:43,821 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 02:24:16,793 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 02:24:27,856 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 02:24:43,869 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 02:25:51,324 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 02:36:43,113 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 02:36:50,861 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 02:40:54,315 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 02:46:01,714 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 02:54:02,896 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 03:01:18,336 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 03:01:31,603 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 03:09:51,055 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 03:15:45,142 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 03:17:01,633 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=90
2025-06-02 03:23:41,351 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 03:29:31,057 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 03:31:54,806 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 03:32:04,474 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 03:32:10,992 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 03:33:27,043 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-90
2025-06-02 03:34:11,083 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 03:57:14,385 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 04:04:04,213 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 04:05:55,548 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 04:06:01,603 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 04:06:10,892 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 04:10:25,701 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 04:12:19,751 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 04:12:28,726 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
