2025-06-03 01:55:53,836 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a09e38406924c290270')}
2025-06-03 01:55:53,955 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a09e38406924c290271')}
2025-06-03 01:55:54,071 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ae38406924c290272')}
2025-06-03 01:55:54,191 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ae38406924c290273')}
2025-06-03 01:55:54,323 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ae38406924c290274')}
2025-06-03 01:55:54,435 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ae38406924c290275')}
2025-06-03 01:55:54,545 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ae38406924c290276')}
2025-06-03 01:55:54,655 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ae38406924c290277')}
2025-06-03 01:55:54,791 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ae38406924c290278')}
2025-06-03 01:55:54,919 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ae38406924c290279')}
2025-06-03 01:55:58,045 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ee38406924c29027a')}
2025-06-03 01:55:58,187 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ee38406924c29027b')}
2025-06-03 01:55:58,303 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ee38406924c29027c')}
2025-06-03 01:55:58,458 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ee38406924c29027d')}
2025-06-03 01:55:58,577 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ee38406924c29027e')}
2025-06-03 01:55:58,695 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ee38406924c29027f')}
2025-06-03 01:55:58,811 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ee38406924c290280')}
2025-06-03 01:55:58,929 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0ee38406924c290281')}
2025-06-03 01:55:59,043 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0fe38406924c290282')}
2025-06-03 01:55:59,155 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0fe38406924c290283')}
2025-06-03 01:55:59,271 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0fe38406924c290284')}
2025-06-03 01:55:59,387 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0fe38406924c290285')}
2025-06-03 01:55:59,508 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0fe38406924c290286')}
2025-06-03 01:55:59,626 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0fe38406924c290287')}
2025-06-03 01:55:59,763 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0fe38406924c290288')}
2025-06-03 01:55:59,874 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0fe38406924c290289')}
2025-06-03 01:55:59,985 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a0fe38406924c29028a')}
2025-06-03 01:56:00,103 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a10e38406924c29028b')}
2025-06-03 01:56:00,269 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a10e38406924c29028c')}
2025-06-03 01:56:00,387 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a10e38406924c29028d')}
2025-06-03 01:56:00,551 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a10e38406924c29028e')}
2025-06-03 01:56:00,684 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a10e38406924c29028f')}
2025-06-03 01:56:00,799 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a10e38406924c290290')}
2025-06-03 01:56:00,917 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a10e38406924c290291')}
2025-06-03 01:56:01,035 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a11e38406924c290292')}
2025-06-03 01:56:01,179 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a11e38406924c290293')}
2025-06-03 01:56:01,295 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a11e38406924c290294')}
2025-06-03 01:56:01,407 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a11e38406924c290295')}
2025-06-03 01:56:06,227 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a16e38406924c290296')}
2025-06-03 01:56:08,055 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a18e38406924c290297')}
2025-06-03 01:56:09,323 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a19e38406924c290298')}
2025-06-03 01:56:12,055 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a1ce38406924c290299')}
2025-06-03 01:56:12,169 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a1ce38406924c29029a')}
2025-06-03 01:56:12,291 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a1ce38406924c29029b')}
2025-06-03 01:56:12,411 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a1ce38406924c29029c')}
2025-06-03 01:56:12,525 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a1ce38406924c29029d')}
2025-06-03 01:56:12,638 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a1ce38406924c29029e')}
2025-06-03 01:56:16,525 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a20e38406924c29029f')}
2025-06-03 01:56:19,919 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a23e38406924c2902a0')}
2025-06-03 01:56:20,112 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a24e38406924c2902a1')}
2025-06-03 01:56:20,235 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a24e38406924c2902a2')}
2025-06-03 01:56:20,352 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a24e38406924c2902a3')}
2025-06-03 01:56:20,476 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a24e38406924c2902a4')}
2025-06-03 01:56:20,589 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a24e38406924c2902a5')}
2025-06-03 01:56:20,741 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a24e38406924c2902a6')}
2025-06-03 01:56:20,855 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a24e38406924c2902a7')}
2025-06-03 01:56:20,976 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a24e38406924c2902a8')}
2025-06-03 01:56:21,094 | DEBUG | MongoDB | Trade enregistré : {'symbol': 'PF_ETHUSD', 'side': 'long', 'entry_price': 2543.0, 'exit_price': 2555.875, 'pnl_percent': 0.51, 'timestamp': 1748900900, '_id': ObjectId('683e3a25e38406924c2902a9')}
