2025-06-03 02:13:31,587 | WARNING | Telegram | Erreur Telegram : {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 1148","parameters":{"retry_after":1148}}
2025-06-03 02:13:31,694 | WARNING | Telegram | Erreur Telegram : {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 1148","parameters":{"retry_after":1148}}
2025-06-03 02:13:31,812 | WARNING | Telegram | Erreur Telegram : {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 1148","parameters":{"retry_after":1148}}
2025-06-03 02:13:32,520 | WARNING | Telegram | Erreur Telegram : {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 1147","parameters":{"retry_after":1147}}
2025-06-03 02:13:33,029 | WARNING | Telegram | Erreur Telegram : {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 1147","parameters":{"retry_after":1147}}
2025-06-03 02:13:34,544 | WARNING | Telegram | Erreur Telegram : {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 1145","parameters":{"retry_after":1145}}
2025-06-03 02:13:34,982 | WARNING | Telegram | Erreur Telegram : {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 1145","parameters":{"retry_after":1145}}
2025-06-03 02:13:35,084 | WARNING | Telegram | Erreur Telegram : {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 1145","parameters":{"retry_after":1145}}
2025-06-03 02:13:35,186 | WARNING | Telegram | Erreur Telegram : {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 1145","parameters":{"retry_after":1145}}
2025-06-03 02:13:36,617 | WARNING | Telegram | Erreur Telegram : {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 1143","parameters":{"retry_after":1143}}
2025-06-03 02:13:36,734 | WARNING | Telegram | Erreur Telegram : {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 1143","parameters":{"retry_after":1143}}
2025-06-03 02:13:36,934 | WARNING | Telegram | Erreur Telegram : {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 1143","parameters":{"retry_after":1143}}
2025-06-03 02:13:37,058 | WARNING | Telegram | Erreur Telegram : {"ok":false,"error_code":429,"description":"Too Many Requests: retry after 1143","parameters":{"retry_after":1143}}
